semana,valor
2000-01-08,686
2000-01-15,611
2000-01-22,614
2000-01-29,598
2000-02-05,785
2000-02-12,923
2000-02-19,993
2000-02-26,986
2000-03-04,884
2000-03-11,1073
2000-03-18,1291
2000-03-25,1236
2000-04-01,1079
2000-04-08,1148
2000-04-15,1077
2000-04-22,1007
2000-04-29,1221
2000-05-06,1285
2000-05-13,1089
2000-05-20,1091
2000-05-27,791
2000-06-03,620
2000-06-10,479
2000-06-17,312
2000-06-24,310
2000-07-01,293
2000-07-08,230
2000-07-15,219
2000-07-22,160
2000-07-29,115
2000-08-05,151
2000-08-12,134
2000-08-19,118
2000-08-26,101
2000-09-02,85
2000-09-09,58
2000-09-16,51
2000-09-23,37
2000-09-30,56
2000-10-07,41
2000-10-14,67
2000-10-21,84
2000-10-28,61
2000-11-04,71
2000-11-11,78
2000-11-18,99
2000-11-25,72
2000-12-02,40
2000-12-09,39
2000-12-16,34
2000-12-23,58
2000-12-30,44
2001-01-06,174
2001-01-13,147
2001-01-20,218
2001-01-27,237
2001-02-03,244
2001-02-10,332
2001-02-17,259
2001-02-24,229
2001-03-03,237
2001-03-10,267
2001-03-17,252
2001-03-24,286
2001-03-31,327
2001-04-07,452
2001-04-14,457
2001-04-21,574
2001-04-28,447
2001-05-05,495
2001-05-12,505
2001-05-19,577
2001-05-26,555
2001-06-02,443
2001-06-09,450
2001-06-16,339
2001-06-23,278
2001-06-30,276
2001-07-07,297
2001-07-14,276
2001-07-21,265
2001-07-28,292
2001-08-04,203
2001-08-11,228
2001-08-18,210
2001-08-25,168
2001-09-01,134
2001-09-08,109
2001-09-15,128
2001-09-22,140
2001-09-29,92
2001-10-06,119
2001-10-13,101
2001-10-20,109
2001-10-27,131
2001-11-03,122
2001-11-10,169
2001-11-17,137
2001-11-24,177
2001-12-01,135
2001-12-08,124
2001-12-15,109
2001-12-22,124
2001-12-29,77
2002-01-05,829
2002-01-12,1032
2002-01-19,1658
2002-01-26,2860
2002-02-02,4560
2002-02-09,5936
2002-02-16,7124
2002-02-23,10363
2002-03-02,11703
2002-03-09,10730
2002-03-16,9083
2002-03-23,6293
2002-03-30,4547
2002-04-06,4596
2002-04-13,3700
2002-04-20,3097
2002-04-27,1939
2002-05-04,1404
2002-05-11,1311
2002-05-18,1024
2002-05-25,865
2002-06-01,536
2002-06-08,455
2002-06-15,364
2002-06-22,288
2002-06-29,230
2002-07-06,253
2002-07-13,217
2002-07-20,199
2002-07-27,204
2002-08-03,146
2002-08-10,144
2002-08-17,113
2002-08-24,108
2002-08-31,83
2002-09-07,93
2002-09-14,86
2002-09-21,85
2002-09-28,93
2002-10-05,82
2002-10-12,87
2002-10-19,99
2002-10-26,130
2002-11-02,115
2002-11-09,96
2002-11-16,119
